City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
267,Chany,RU,2021-11-16 06:38:42,55.3121,76.7647,11.25,83,99,7.09
268,Swan Hill,AU,2021-11-16 06:38:42,-35.3378,143.5544,67.41,31,39,8.52
269,San Patricio,US,2021-11-16 06:38:42,28.017,-97.5169,73.29,82,0,11.99
270,Iacu,BR,2021-11-16 06:38:43,-12.7672,-40.2117,71.06,90,100,1.99
271,Barmer,IN,2021-11-16 06:38:43,25.75,71.3833,83.44,13,2,9.78
272,Udachnyy,RU,2021-11-16 06:38:43,66.4167,112.4,-0.58,99,100,2.51
273,Luanda,AO,2021-11-16 06:38:23,-8.8368,13.2343,77.0,88,75,2.3
274,Jiuquan,CN,2021-11-16 06:38:44,39.7432,98.5174,43.59,18,100,2.28
275,Ucluelet,CA,2021-11-16 06:37:19,48.9329,-125.5528,41.09,86,98,1.01
276,Veselynove,UA,2021-11-16 06:39:44,47.3567,31.2349,28.72,64,4,11.61
277,Khuzhir,RU,2021-11-16 06:39:44,53.1939,107.3397,33.6,83,100,11.56
278,Vao,NC,2021-11-16 06:39:45,-22.6667,167.4833,76.57,76,3,12.3
279,Zheleznodorozhnyy,RU,2021-11-16 06:39:45,55.7503,38.0042,27.95,69,49,11.54
280,Den Helder,NL,2021-11-16 06:39:45,52.9599,4.7593,42.98,88,90,3.0
281,Colares,PT,2021-11-16 06:39:45,38.7992,-9.4469,55.33,54,98,5.99
282,Malysheva,RU,2021-11-16 06:39:46,57.1185,61.4035,13.98,76,100,10.94
283,Kirakira,SB,2021-11-16 06:39:46,-10.4544,161.9205,81.79,77,15,5.28
284,Ibra,OM,2021-11-16 06:39:46,22.6906,58.5334,81.9,23,1,4.9
285,Phan Thiet,VN,2021-11-16 06:39:47,10.9333,108.1,82.15,84,100,13.33
286,Chapais,CA,2021-11-16 06:39:47,49.7834,-74.8492,24.58,91,100,9.51
287,Biak,ID,2021-11-16 06:39:47,-0.9131,122.8766,78.64,81,100,3.13
288,Aklavik,CA,2021-11-16 06:39:47,68.2191,-135.0107,0.43,97,100,4.27
289,Siilinjarvi,FI,2021-11-16 06:39:48,63.0833,27.6667,39.22,81,90,13.8
290,Kostyantynivka,UA,2021-11-16 06:39:48,48.5277,37.7069,29.64,68,35,7.94
291,Geraldton,AU,2021-11-16 06:39:48,-28.7667,114.6,75.61,53,40,17.27
292,Mariel,CU,2021-11-16 06:39:48,22.9875,-82.7536,73.54,79,100,16.24
